question_id,tags,Pseudoteks (clean_text)
q8098,5;2;182,tag_5 tag_2 tag_182
q8074,11;7;183,tag_11 tag_7 tag_183
q176,6;7;183,tag_6 tag_7 tag_183
q1279,24;26;182;184,tag_24 tag_26 tag_182 tag_184
q6363,130,tag_130
q3670,77,tag_77
q3788,136,tag_136
q3815,103,tag_103
q6119,119,tag_119
q5019,74,tag_74
q6753,85,tag_85
q5060,110,tag_110
q4886,91,tag_91
q6035,106,tag_106
q10208,76,tag_76
q5084,106,tag_106
q4275,103,tag_103
q6255,97,tag_97
q8996,78,tag_78
q4210,107,tag_107
q6189,97,tag_97
q695,30;28;29;181;183,tag_30 tag_28 tag_29 tag_181 tag_183
q712,23;24;25;181;183,tag_23 tag_24 tag_25 tag_181 tag_183
q571,30;24;40;183;182,tag_30 tag_24 tag_40 tag_183 tag_182
q295,34;42;181;182,tag_34 tag_42 tag_181 tag_182
q1348,24;26;182;184,tag_24 tag_26 tag_182 tag_184
q1002,31;32;183;182,tag_31 tag_32 tag_183 tag_182
q661,30;28;49;181;182,tag_30 tag_28 tag_49 tag_181 tag_182
q11249,30;44;49;183;184,tag_30 tag_44 tag_49 tag_183 tag_184
q1323,24;50;181;185,tag_24 tag_50 tag_181 tag_185
q2067,52;183;184,tag_52 tag_183 tag_184
q2068,55;183;184,tag_55 tag_183 tag_184
q2069,179;52;183;184,tag_179 tag_52 tag_183 tag_184
q3411,64;53;184,tag_64 tag_53 tag_184
q3412,64;52;184,tag_64 tag_52 tag_184
q3413,64;52;184,tag_64 tag_52 tag_184
q2991,59;52;183,tag_59 tag_52 tag_183
q2992,59;53;183,tag_59 tag_53 tag_183
q2993,59;52;183,tag_59 tag_52 tag_183
q2628,64;52;185,tag_64 tag_52 tag_185
q2629,64;57;185,tag_64 tag_57 tag_185
q2630,64;54;185,tag_64 tag_54 tag_185
q4555,130,tag_130
q4178,75,tag_75
q4761,96,tag_96
q6185,145,tag_145
q6243,100,tag_100
q6442,71,tag_71
q6949,83,tag_83
q6950,115,tag_115
q6951,143,tag_143
q6952,85,tag_85
q7335,152;149;177,tag_152 tag_149 tag_177
q7336,152;153;177,tag_152 tag_153 tag_177
q7337,152;156;177,tag_152 tag_156 tag_177
q7338,152;169;177,tag_152 tag_169 tag_177
q1111,179;44;49;185;183,tag_179 tag_44 tag_49 tag_185 tag_183
q1148,23;24;25;183;181,tag_23 tag_24 tag_25 tag_183 tag_181
q519,30;36;37;181;185,tag_30 tag_36 tag_37 tag_181 tag_185
q289,51;24;33;183;182,tag_51 tag_24 tag_33 tag_183 tag_182
q405,38;39;181;185,tag_38 tag_39 tag_181 tag_185
q614,24;43;184;181,tag_24 tag_43 tag_184 tag_181
q1098,24;41;184;185,tag_24 tag_41 tag_184 tag_185
q913,24;40;184;183,tag_24 tag_40 tag_184 tag_183
q205,44;49;185;181,tag_44 tag_49 tag_185 tag_181
q807,24;26;185;184,tag_24 tag_26 tag_185 tag_184
q650,179;24;48;183;181,tag_179 tag_24 tag_48 tag_183 tag_181
q1236,24;26;184;183,tag_24 tag_26 tag_184 tag_183
q458,24;48;184;181,tag_24 tag_48 tag_184 tag_181
q1340,44;49;181;185,tag_44 tag_49 tag_181 tag_185
q963,24;40;183;182,tag_24 tag_40 tag_183 tag_182
q512,179;24;33;183;181,tag_179 tag_24 tag_33 tag_183 tag_181
q709,179;24;25;183;181,tag_179 tag_24 tag_25 tag_183 tag_181
q1180,179;38;39;184;182,tag_179 tag_38 tag_39 tag_184 tag_182
q1271,24;50;181;184,tag_24 tag_50 tag_181 tag_184
q1290,24;43;181;185,tag_24 tag_43 tag_181 tag_185
q514,24;33;181;183,tag_24 tag_33 tag_181 tag_183
q958,30;28;29;181;182,tag_30 tag_28 tag_29 tag_181 tag_182
q362,30;28;29;182;181,tag_30 tag_28 tag_29 tag_182 tag_181
q71,1;2;179;181,tag_1 tag_2 tag_179 tag_181
q8095,20;21;179;183,tag_20 tag_21 tag_179 tag_183
q161,5;2;181,tag_5 tag_2 tag_181
q43,16;2;183,tag_16 tag_2 tag_183
q8153,6;7;183,tag_6 tag_7 tag_183
q8061,180;2;183,tag_180 tag_2 tag_183
q95,8;2;179;181,tag_8 tag_2 tag_179 tag_181
q146,6;7;179;181,tag_6 tag_7 tag_179 tag_181
q131,19;2;181,tag_19 tag_2 tag_181
q154,18;7;181,tag_18 tag_7 tag_181
q8050,8;2;179;182,tag_8 tag_2 tag_179 tag_182
q129,9;2;183,tag_9 tag_2 tag_183
q8110,3;2;182,tag_3 tag_2 tag_182
q163,6;7;185,tag_6 tag_7 tag_185
q8111,10;7;179;183,tag_10 tag_7 tag_179 tag_183
q8058,4;2;182,tag_4 tag_2 tag_182
q116,16;2;179;182,tag_16 tag_2 tag_179 tag_182
q185,11;7;183,tag_11 tag_7 tag_183
q8128,12;2;181,tag_12 tag_2 tag_181
q8126,17;7;179;183,tag_17 tag_7 tag_179 tag_183
q8103,16;2;181,tag_16 tag_2 tag_181
q8063,17;7;181,tag_17 tag_7 tag_181
q8052,20;21;179;184,tag_20 tag_21 tag_179 tag_184
q166,18;7;185,tag_18 tag_7 tag_185
q189,8;2;185,tag_8 tag_2 tag_185
q8143,3;2;179;181,tag_3 tag_2 tag_179 tag_181
q100,22;2;181,tag_22 tag_2 tag_181
q8077,14;2;183,tag_14 tag_2 tag_183
q8134,17;7;179;184,tag_17 tag_7 tag_179 tag_184
q47,4;2;179;183,tag_4 tag_2 tag_179 tag_183
