question_id,clean_text
q8098,tag_5 tag_2 tag_182
q8074,tag_11 tag_7 tag_183
q176,tag_6 tag_7 tag_183
q1279,tag_24 tag_26 tag_182 tag_184
q6363,tag_130
q3670,tag_77
q3788,tag_136
q3815,tag_103
q6119,tag_119
q5019,tag_74
q6753,tag_85
q5060,tag_110
q4886,tag_91
q6035,tag_106
q10208,tag_76
q5084,tag_106
q4275,tag_103
q6255,tag_97
q8996,tag_78
q4210,tag_107
q6189,tag_97
q695,tag_30 tag_28 tag_29 tag_181 tag_183
q712,tag_23 tag_24 tag_25 tag_181 tag_183
q571,tag_30 tag_24 tag_40 tag_183 tag_182
q295,tag_34 tag_42 tag_181 tag_182
q1348,tag_24 tag_26 tag_182 tag_184
q1002,tag_31 tag_32 tag_183 tag_182
q661,tag_30 tag_28 tag_49 tag_181 tag_182
q11249,tag_30 tag_44 tag_49 tag_183 tag_184
q1323,tag_24 tag_50 tag_181 tag_185
q2067,tag_52 tag_183 tag_184
q2068,tag_55 tag_183 tag_184
q2069,tag_179 tag_52 tag_183 tag_184
q3411,tag_64 tag_53 tag_184
q3412,tag_64 tag_52 tag_184
q3413,tag_64 tag_52 tag_184
q2991,tag_59 tag_52 tag_183
q2992,tag_59 tag_53 tag_183
q2993,tag_59 tag_52 tag_183
q2628,tag_64 tag_52 tag_185
q2629,tag_64 tag_57 tag_185
q2630,tag_64 tag_54 tag_185
q4555,tag_130
q4178,tag_75
q4761,tag_96
q6185,tag_145
q6243,tag_100
q6442,tag_71
q6949,tag_83
q6950,tag_115
q6951,tag_143
q6952,tag_85
q7335,tag_152 tag_149 tag_177
q7336,tag_152 tag_153 tag_177
q7337,tag_152 tag_156 tag_177
q7338,tag_152 tag_169 tag_177
q1111,tag_179 tag_44 tag_49 tag_185 tag_183
q1148,tag_23 tag_24 tag_25 tag_183 tag_181
q519,tag_30 tag_36 tag_37 tag_181 tag_185
q289,tag_51 tag_24 tag_33 tag_183 tag_182
q405,tag_38 tag_39 tag_181 tag_185
q614,tag_24 tag_43 tag_184 tag_181
q1098,tag_24 tag_41 tag_184 tag_185
q913,tag_24 tag_40 tag_184 tag_183
q205,tag_44 tag_49 tag_185 tag_181
q807,tag_24 tag_26 tag_185 tag_184
q650,tag_179 tag_24 tag_48 tag_183 tag_181
q1236,tag_24 tag_26 tag_184 tag_183
q458,tag_24 tag_48 tag_184 tag_181
q1340,tag_44 tag_49 tag_181 tag_185
q963,tag_24 tag_40 tag_183 tag_182
q512,tag_179 tag_24 tag_33 tag_183 tag_181
q709,tag_179 tag_24 tag_25 tag_183 tag_181
q1180,tag_179 tag_38 tag_39 tag_184 tag_182
